TirePressure_Front,TirePressure_Rear,TireSize_Front,TireSize_Rear,DriverWeight_kg,CoolantTemperature_C,CoolantType,PES
1.62,2.07,30/71-R18,34/71-R18,76,103,Ethylene Glycol,4397913.6
1.46,1.78,28/71-R18,32/71-R18,72,86,Ethylene Glycol,3704318.13
1.83,2.06,27/71-R18,36/71-R18,70,96,Ethylene Glycol,3476667.15
1.77,1.5,27/71-R18,34/71-R18,84,94,Ethylene Glycol,4674968.06
1.43,2.08,28/71-R18,32/71-R18,83,103,Ethylene Glycol,4686978.29
1.63,2.09,29/71-R18,35/71-R18,76,93,Ethylene Glycol,3916549.8
1.44,2.07,31/71-R18,35/71-R18,78,86,Ethylene Glycol,4066051.33
1.81,1.76,27/71-R18,34/71-R18,84,87,Ethylene Glycol,4008051.11
1.95,1.66,30/71-R18,33/71-R18,75,94,Ethylene Glycol,3944128.36
1.74,1.52,31/71-R18,33/71-R18,79,88,Ethylene Glycol,4384344.91
1.76,2.05,27/71-R18,32/71-R18,78,92,Ethylene Glycol,3617534.61
1.91,1.95,29/71-R18,34/71-R18,78,97,Ethylene Glycol,4005510.96
1.48,1.98,27/71-R18,35/71-R18,77,85,Ethylene Glycol,3799332.78
1.52,1.5,31/71-R18,34/71-R18,72,87,Ethylene Glycol,4307037.21
1.86,1.54,28/71-R18,32/71-R18,76,93,Ethylene Glycol,4039590.67
1.77,1.7,27/71-R18,33/71-R18,77,89,Ethylene Glycol,3791797.49
1.84,1.88,31/71-R18,33/71-R18,74,99,Ethylene Glycol,4097160.03
1.83,1.96,29/71-R18,35/71-R18,76,93,Ethylene Glycol,3860331.8
1.83,1.57,29/71-R18,32/71-R18,76,101,Ethylene Glycol,4437179.53
1.59,1.81,31/71-R18,33/71-R18,82,99,Ethylene Glycol,4881902.56
1.85,1.64,27/71-R18,33/71-R18,75,86,Ethylene Glycol,3555349.04
1.77,1.68,27/71-R18,33/71-R18,81,96,Ethylene Glycol,4383280.49
1.65,2.03,28/71-R18,32/71-R18,78,91,Ethylene Glycol,3752342.27
1.94,1.66,30/71-R18,32/71-R18,82,93,Ethylene Glycol,4189978.6
1.58,1.6,29/71-R18,33/71-R18,70,103,Ethylene Glycol,4555278.0
1.56,1.65,27/71-R18,32/71-R18,77,93,Ethylene Glycol,4279698.03
1.64,1.54,28/71-R18,33/71-R18,76,86,Ethylene Glycol,3980109.53
1.83,1.59,32/71-R18,33/71-R18,71,86,Ethylene Glycol,3685597.67
1.65,1.52,28/71-R18,34/71-R18,83,86,Ethylene Glycol,4494850.39
1.72,1.77,29/71-R18,34/71-R18,76,95,Ethylene Glycol,4216208.99
1.62,1.65,31/71-R18,33/71-R18,71,90,Ethylene Glycol,4012043.57
1.64,1.99,31/71-R18,32/71-R18,80,90,Ethylene Glycol,4013422.81
1.82,2.02,28/71-R18,32/71-R18,79,87,Ethylene Glycol,3513606.47
1.89,1.71,27/71-R18,35/71-R18,77,91,Ethylene Glycol,3917964.05
1.96,1.58,28/71-R18,32/71-R18,76,94,Ethylene Glycol,3923799.62
1.55,1.9,31/71-R18,34/71-R18,81,101,Ethylene Glycol,4912494.87
1.55,1.56,31/71-R18,35/71-R18,80,93,Ethylene Glycol,5065277.59
1.57,1.92,31/71-R18,35/71-R18,75,85,Ethylene Glycol,3861929.33
1.79,1.55,27/71-R18,35/71-R18,73,87,Ethylene Glycol,3817974.01
1.62,2.06,31/71-R18,33/71-R18,83,102,Ethylene Glycol,4761204.78
1.69,1.77,32/71-R18,32/71-R18,73,85,Ethylene Glycol,3681629.15
1.7,1.61,28/71-R18,35/71-R18,72,101,Ethylene Glycol,4436994.32
1.58,1.83,29/71-R18,34/71-R18,75,98,Ethylene Glycol,4373616.42
1.75,2.09,29/71-R18,35/71-R18,80,86,Ethylene Glycol,3717350.0
